cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_ndex
1088.8,2.57012,28194.4,1069.79,0.588927
1088.06,2.53132,27110,1069.22,0.583282
1088.47,2.5275,30000,1069.59,0.613724
1087.81,2.52654,28706,1068.9,0.618739
1087.35,2.56656,28772.9,1069.37,0.626694
1088.05,2.58395,29519.3,1070.22,0.590362
1088.54,2.58196,29389.6,1070.87,0.571602
1087.7,2.5697,29429.1,1068.8,0.56859
1088.31,2.56005,29233.9,1069.48,0.556651
1087.79,2.55775,28857.2,1068.78,0.545197
1089.52,2.55738,29112.1,1069.68,0.565077
1087.81,2.55293,28793.6,1068.37,0.56393
1088.24,2.52723,29005.7,1069.5,0.596161
1088.58,2.53917,29251.5,1071.04,0.625039
1087.75,2.57825,28840.2,1070.38,0.608709
1088.54,2.58547,28955.7,1069.6,0.556301
1088.57,2.56125,28662.9,1068.15,0.548094
1087.32,2.53394,28749.4,1069.02,0.534609
1087.52,2.529,28513.9,1068.39,0.576416
1088.2,2.53417,29026.3,1070.79,0.606382
1088.74,2.57592,28997.9,1069.17,0.584469
1087.97,2.58807,29054.1,1069.76,0.596406
1087.04,2.52791,29566.5,1069.45,0.554601
1088.61,2.58266,29688.5,1070.19,0.580476
1088.52,2.56099,29563.4,1070.04,0.573015
1087.54,2.53792,29429.5,1069.37,0.590033
1086.71,2.53532,29613.1,1068.55,0.602859
1087.32,2.53505,27321.3,1069.28,0.605146
1086.7,2.53416,27194.6,1069.22,0.591958
1087.91,2.54103,27694.4,1070.18,0.592669
1086.85,2.53735,28018.5,1068.18,0.622234
1087.36,2.53868,28217.4,1068.74,0.622858
1087.38,2.54142,27864.2,1068.99,0.597677
1088.2,2.54288,28156.6,1069.57,0.610942
1088.21,2.54465,28540.9,1069.4,0.610774
1087.11,2.54466,28273.3,1068.59,0.617259
1088.84,2.54186,28397,1070.23,0.612881
1088.66,2.53621,28480.6,1070.22,0.608767
1089.82,2.57902,28762.7,1069.44,0.625248
1090.16,2.59265,28775,1070.71,0.565893
1089.07,2.56547,28345.6,1068.21,0.557111
1087.54,2.54313,28322.4,1068.11,0.538582
1087.55,2.53639,28272.4,1068.35,0.602778
1087.94,2.53052,28204.4,1069.34,0.592325
1090.2,2.57813,28589.7,1071.11,0.617198
1088.69,2.58898,28808.7,1068.86,0.601014
1088.04,2.56747,28844.1,1067.01,0.565458
1087.54,2.54953,28762.1,1066.97,0.578094
1088.45,2.54541,28717.8,1069.91,0.578211
1087.97,2.53729,28986.8,1069.4,0.583555
1086.51,2.53081,28399.5,1068.38,0.608074
1086.84,2.53742,28684.1,1068.7,0.600635
1087.84,2.54264,28489.6,1070.17,0.611514
1088.74,2.54771,28382.4,1069.69,0.573514
1087.8,2.55714,28302.6,1069.21,0.583832
1088.74,2.55363,28445.6,1069.66,0.566002
1088.1,2.54032,28079.2,1069.15,0.580925
1088.29,2.5343,28074.8,1070,0.596645
1088.14,2.5299,27814.9,1069.41,0.586935
1088.44,2.53057,27867.3,1069.4,0.565721
1088.97,2.55,28190.6,1070.44,0.58995
1088.19,2.53361,28353.9,1069.89,0.619985
1088.58,2.58231,28417.7,1069.37,0.576425
1089.36,2.59033,28343.4,1070.7,0.609963
1088.54,2.56199,28283.3,1070.56,0.544193
1088.59,2.55304,27995.2,1070.12,0.550703
1088.37,2.54759,28124.4,1068.75,0.620102
1088.78,2.5236,28319.8,1069.74,0.594503
1089.91,2.5789,28385.6,1070,0.591437
1089.29,2.57601,28125.4,1070,0.58551
1089.73,2.577,28972.4,1071.28,0.554476
1087.48,2.56711,29241.3,1068.75,0.568535
1088.74,2.55752,28778.9,1070.04,0.554294
1089.67,2.55611,29136.7,1070.17,0.574384
1088.31,2.55342,29177,1069.1,0.619013
1088.27,2.5555,29689.3,1070.59,0.588219
1086.46,2.55455,29664.7,1070.06,0.602423
1087.74,2.56361,29458.5,1071.06,0.605213
1086.88,2.56745,29372.1,1070.16,0.601338
